[GIN] 2025/06/17 - 11:03:08 | 200 |            0s |             ::1 | GET      "/item/quantity/2"
[GIN] 2025/06/17 - 11:03:27 | 200 |       527.5µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:03:31 | 200 |       515.5µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:03:31 | 200 |       513.4µs |             ::1 | GET      "/item"
[GIN] 2025/06/17 - 11:03:31 | 200 |            0s |             ::1 | GET      "/item/quantity/1"
[GIN] 2025/06/17 - 11:03:31 | 200 |            0s |             ::1 | GET      "/item/quantity/2"
[GIN] 2025/06/17 - 11:03:35 | 200 |       999.4µs |             ::1 | GET      "/category"
[GIN] 2025/06/17 - 11:03:35 | 200 |       264.4µs |             ::1 | GET      "/item"
[GIN] 2025/06/17 - 11:03:35 | 200 |            0s |             ::1 | GET      "/item/quantity/1"
[GIN] 2025/06/17 - 11:03:35 | 200 |            0s |             ::1 | GET      "/item/quantity/2"
[GIN] 2025/06/17 - 11:03:38 | 200 |       1.835ms |             ::1 | GET      "/location"
[GIN] 2025/06/17 - 11:03:38 | 200 |      2.7286ms |             ::1 | GET      "/role"
[GIN] 2025/06/17 - 11:03:38 | 200 |            0s |             ::1 | GET      "/user"
[GIN] 2025/06/17 - 11:03:39 | 200 |       709.2µs |             ::1 | GET      "/role"
[GIN] 2025/06/17 - 11:03:42 | 200 |      1.0519ms |             ::1 | GET      "/role"
[GIN] 2025/06/17 - 11:03:42 | 200 |            0s |             ::1 | GET      "/user"
[GIN] 2025/06/17 - 11:03:45 | 200 |       531.4µs |             ::1 | GET      "/role"
[GIN] 2025/06/17 - 11:03:45 | 204 |            0s |             ::1 | OPTIONS  "/user/2"
[GIN] 2025/06/17 - 11:03:45 | 200 |      1.0531ms |             ::1 | GET      "/user/2"
[GIN] 2025/06/17 - 11:03:47 | 200 |    186.3988ms |             ::1 | PUT      "/user/2"
[GIN] 2025/06/17 - 11:03:48 | 200 |       533.1µs |             ::1 | GET      "/role"
[GIN] 2025/06/17 - 11:03:48 | 200 |       605.7µs |             ::1 | GET      "/user"
[GIN] 2025/06/17 - 11:03:57 | 200 |    186.2699ms |             ::1 | POST     "/user/login"
